class,size,index,filename,relpath
C1,200,1,C1_2_1.TXT,C1\C1_2_1.TXT
C1,200,2,C1_2_2.TXT,C1\C1_2_2.TXT
C1,200,3,C1_2_3.TXT,C1\C1_2_3.TXT
C1,200,4,C1_2_4.TXT,C1\C1_2_4.TXT
C1,200,5,C1_2_5.TXT,C1\C1_2_5.TXT
C1,200,6,C1_2_6.TXT,C1\C1_2_6.TXT
C1,200,7,C1_2_7.TXT,C1\C1_2_7.TXT
C1,200,8,C1_2_8.TXT,C1\C1_2_8.TXT
C1,200,9,C1_2_9.TXT,C1\C1_2_9.TXT
C1,200,10,C1_2_10.TXT,C1\C1_2_10.TXT
C1,400,1,C1_4_1.TXT,C1\C1_4_1.TXT
C1,400,2,C1_4_2.TXT,C1\C1_4_2.TXT
C1,400,3,C1_4_3.TXT,C1\C1_4_3.TXT
C1,400,4,C1_4_4.TXT,C1\C1_4_4.TXT
C1,400,5,C1_4_5.TXT,C1\C1_4_5.TXT
C1,400,6,C1_4_6.TXT,C1\C1_4_6.TXT
C1,400,7,C1_4_7.TXT,C1\C1_4_7.TXT
C1,400,8,C1_4_8.TXT,C1\C1_4_8.TXT
C1,400,9,C1_4_9.TXT,C1\C1_4_9.TXT
C1,400,10,C1_4_10.TXT,C1\C1_4_10.TXT
C1,600,1,C1_6_1.TXT,C1\C1_6_1.TXT
C1,600,2,C1_6_2.TXT,C1\C1_6_2.TXT
C1,600,3,C1_6_3.TXT,C1\C1_6_3.TXT
C1,600,4,C1_6_4.TXT,C1\C1_6_4.TXT
C1,600,5,C1_6_5.TXT,C1\C1_6_5.TXT
C1,600,6,C1_6_6.TXT,C1\C1_6_6.TXT
C1,600,7,C1_6_7.TXT,C1\C1_6_7.TXT
C1,600,8,C1_6_8.TXT,C1\C1_6_8.TXT
C1,600,9,C1_6_9.TXT,C1\C1_6_9.TXT
C1,600,10,C1_6_10.TXT,C1\C1_6_10.TXT
C1,800,1,C1_8_1.TXT,C1\C1_8_1.TXT
C1,800,2,C1_8_2.TXT,C1\C1_8_2.TXT
C1,800,3,C1_8_3.TXT,C1\C1_8_3.TXT
C1,800,4,C1_8_4.TXT,C1\C1_8_4.TXT
C1,800,5,C1_8_5.TXT,C1\C1_8_5.TXT
C1,800,6,C1_8_6.TXT,C1\C1_8_6.TXT
C1,800,7,C1_8_7.TXT,C1\C1_8_7.TXT
C1,800,8,C1_8_8.TXT,C1\C1_8_8.TXT
C1,800,9,C1_8_9.TXT,C1\C1_8_9.TXT
C1,800,10,C1_8_10.TXT,C1\C1_8_10.TXT
C1,1000,1,C1_10_1.TXT,C1\C1_10_1.TXT
C1,1000,2,C1_10_2.TXT,C1\C1_10_2.TXT
