instance,size,class,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
C1_4_1,400,C1,CLASSIC,1,1,40,7152.06,38.9531,1
C1_4_1,400,C1,CLASSIC,2,2,40,7152.06,38.7812,1
C1_4_1,400,C1,CLASSIC,3,3,40,7152.06,38.375,1
C1_4_1,400,C1,CLASSIC,4,4,40,7152.06,38.8906,1
C1_4_1,400,C1,CLASSIC,5,5,40,7152.06,38.4062,1
C1_4_1,400,C1,CLASSIC,6,6,40,7152.06,38,1
C1_4_1,400,C1,CLASSIC,7,7,40,7152.06,37.9688,1
C1_4_1,400,C1,CLASSIC,8,8,40,7152.06,38.2969,1
C1_4_1,400,C1,CLASSIC,9,9,40,7152.06,37.9062,1
C1_4_1,400,C1,CLASSIC,10,10,40,7152.06,38.7031,1
C1_4_1,400,C1,QLEARNING,1,1,40,7152.06,40.2031,1
C1_4_1,400,C1,QLEARNING,2,2,40,7152.06,39.8281,1
C1_4_1,400,C1,QLEARNING,3,3,40,7152.06,40.5781,1
C1_4_1,400,C1,QLEARNING,4,4,40,7152.06,39.8594,1
C1_4_1,400,C1,QLEARNING,5,5,40,7152.06,39.2031,1
C1_4_1,400,C1,QLEARNING,6,6,40,7152.06,39.2656,1
C1_4_1,400,C1,QLEARNING,7,7,40,7152.06,39.125,1
C1_4_1,400,C1,QLEARNING,8,8,40,7152.06,40.0938,1
C1_4_1,400,C1,QLEARNING,9,9,40,7152.06,40.2031,1
C1_4_1,400,C1,QLEARNING,10,10,40,7152.06,38.6094,1
C1_4_2,400,C1,CLASSIC,1,1,39,7295.53,50.1406,1
C1_4_2,400,C1,CLASSIC,2,2,39,7211.85,51.2188,1
C1_4_2,400,C1,CLASSIC,3,3,39,7223.44,51.3438,1
C1_4_2,400,C1,CLASSIC,4,4,39,7189.44,51.4375,1
C1_4_2,400,C1,CLASSIC,5,5,38,7215.09,49.2188,1
C1_4_2,400,C1,CLASSIC,6,6,39,7188.66,51.0781,1
C1_4_2,400,C1,CLASSIC,7,7,38,7249.17,49.6094,1
C1_4_2,400,C1,CLASSIC,8,8,39,7156.75,50.25,1
C1_4_2,400,C1,CLASSIC,9,9,39,7141.35,51.0781,1
C1_4_2,400,C1,CLASSIC,10,10,39,7145.35,51.5781,1
C1_4_2,400,C1,QLEARNING,1,1,39,7243.74,47.2188,1
C1_4_2,400,C1,QLEARNING,2,2,39,7707.78,49.9375,1
C1_4_2,400,C1,QLEARNING,3,3,39,7160.98,47.7969,1
C1_4_2,400,C1,QLEARNING,4,4,39,7393.25,48.6094,1
C1_4_2,400,C1,QLEARNING,5,5,38,7321.24,43.1406,1
C1_4_2,400,C1,QLEARNING,6,6,39,7150.67,47.1719,1
C1_4_2,400,C1,QLEARNING,7,7,39,7183.67,51.5312,1
C1_4_2,400,C1,QLEARNING,8,8,39,7136.75,50.0625,1
C1_4_2,400,C1,QLEARNING,9,9,39,7197.52,48.0469,1
C1_4_2,400,C1,QLEARNING,10,10,39,7221.27,49.4844,1
C1_4_3,400,C1,CLASSIC,1,1,37,7105.44,52.6094,1
C1_4_3,400,C1,CLASSIC,2,2,36,7339.25,51.7188,1
