Instancia,Algoritmo,Avg_Vehiculos,Avg_Distancia,Best_Vehiculos,Best_Distancia,Runs_OK,Avg_Tiempo,Veh_Run1,Dist_Run1,Veh_Run2,Dist_Run2,Veh_Run3,Dist_Run3,Veh_Run4,Dist_Run4,Veh_Run5,Dist_Run5,Veh_Run6,Dist_Run6,Veh_Run7,Dist_Run7,Veh_Run8,Dist_Run8,Veh_Run9,Dist_Run9,Veh_Run10,Dist_Run10
c101,CLASSIC,10.0,828.94,10,828.94,10,7.4,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c101,QLEARNING,10.0,828.94,10,828.94,10,6.93,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c102,CLASSIC,10.0,828.94,10,828.94,10,10.96,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c102,QLEARNING,10.0,828.94,10,828.94,10,11.41,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c103,CLASSIC,10.0,828.07,10,828.07,10,13.1,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07
c103,QLEARNING,10.0,828.07,10,828.07,10,15.54,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07
c104,CLASSIC,10.0,835.65,10,824.78,10,14.61,10,827.52,10,848.93,10,837.2,10,824.78,10,847.05,10,831.74,10,847.73,10,826.72,10,840.02,10,824.78
c104,QLEARNING,10.0,824.78,10,824.78,10,15.53,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78
c105,CLASSIC,10.0,828.94,10,828.94,10,8.26,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c105,QLEARNING,10.0,828.94,10,828.94,10,8.75,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c106,CLASSIC,10.0,828.94,10,828.94,10,8.53,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c106,QLEARNING,10.0,828.94,10,828.94,10,9.5,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c107,CLASSIC,10.0,828.94,10,828.94,10,9.03,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c107,QLEARNING,10.0,828.94,10,828.94,10,8.83,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c108,CLASSIC,10.0,828.94,10,828.94,10,10.62,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
