instance,size,class,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
C1_8_1,800,C1,CLASSIC,1,1,80,25223.3,79.3906,1
C1_8_1,800,C1,CLASSIC,2,2,80,25206,78,1
C1_8_1,800,C1,CLASSIC,3,3,81,26039.1,79.0781,1
C1_8_1,800,C1,CLASSIC,4,4,80,25229.9,78.8594,1
C1_8_1,800,C1,CLASSIC,5,5,80,25693.5,79.75,1
C1_8_1,800,C1,CLASSIC,6,6,80,25204,77.4375,1
C1_8_1,800,C1,CLASSIC,7,7,80,25207.6,80.1875,1
C1_8_1,800,C1,CLASSIC,8,8,81,25566.1,78.375,1
C1_8_1,800,C1,CLASSIC,9,9,80,25223.3,78.7031,1
C1_8_1,800,C1,CLASSIC,10,10,81,25403.4,79.2969,1
C1_8_1,800,C1,QLEARNING,1,1,81,25630.4,80.9844,1
C1_8_1,800,C1,QLEARNING,2,2,80,25221.7,79.2031,1
C1_8_1,800,C1,QLEARNING,3,3,80,25226,76.8438,1
C1_8_1,800,C1,QLEARNING,4,4,81,25680.2,78.0938,1
C1_8_1,800,C1,QLEARNING,5,5,80,25187.8,81.5469,1
C1_8_1,800,C1,QLEARNING,6,6,80,25262,77.5156,1
C1_8_1,800,C1,QLEARNING,7,7,81,25754.8,74.0938,1
C1_8_1,800,C1,QLEARNING,8,8,82,26031.2,78,1
C1_8_1,800,C1,QLEARNING,9,9,81,25619.4,78.7031,1
C1_8_1,800,C1,QLEARNING,10,10,80,25204.1,77.6094,1
C1_8_2,800,C1,CLASSIC,1,1,78,26196.5,96,1
C1_8_2,800,C1,CLASSIC,2,2,78,26324.1,99.5781,1
C1_8_2,800,C1,CLASSIC,3,3,78,26513.9,97.3125,1
C1_8_2,800,C1,CLASSIC,4,4,79,25789.4,98.2344,1
C1_8_2,800,C1,CLASSIC,5,5,78,25678.1,97.3438,1
C1_8_2,800,C1,CLASSIC,6,6,79,25930.2,100.688,1
C1_8_2,800,C1,CLASSIC,7,7,78,25800.3,99.9375,1
C1_8_2,800,C1,CLASSIC,8,8,78,25780.8,97.8281,1
C1_8_2,800,C1,CLASSIC,9,9,77,26155.3,94.1719,1
C1_8_2,800,C1,CLASSIC,10,10,78,25941.3,96.2188,1
C1_8_2,800,C1,QLEARNING,1,1,78,26477.6,97.125,1
C1_8_2,800,C1,QLEARNING,2,2,78,25854.7,95.9844,1
C1_8_2,800,C1,QLEARNING,3,3,78,25818.3,97.3125,1
C1_8_2,800,C1,QLEARNING,4,4,79,25485.9,100.453,1
C1_8_2,800,C1,QLEARNING,5,5,78,25607,101.172,1
C1_8_2,800,C1,QLEARNING,6,6,78,26099,93.2031,1
C1_8_2,800,C1,QLEARNING,7,7,77,25925.9,93.375,1
C1_8_2,800,C1,QLEARNING,8,8,78,25944.3,95.8125,1
C1_8_2,800,C1,QLEARNING,9,9,77,25688.1,95.5,1
C1_8_2,800,C1,QLEARNING,10,10,79,26148.1,98.4219,1
C1_8_3,800,C1,CLASSIC,1,1,73,25430.5,84.0469,1
C1_8_3,800,C1,CLASSIC,2,2,73,25371.2,85.3125,1
C1_8_3,800,C1,CLASSIC,3,3,73,25893.5,84.5156,1
C1_8_3,800,C1,CLASSIC,4,4,73,26254.3,84.0781,1
C1_8_3,800,C1,CLASSIC,5,5,73,25300.6,84.8594,1
C1_8_3,800,C1,CLASSIC,6,6,73,25770.5,84.7812,1
C1_8_3,800,C1,CLASSIC,7,7,73,25753.7,84.1875,1
C1_8_3,800,C1,CLASSIC,8,8,73,26234.1,83.6875,1
C1_8_3,800,C1,CLASSIC,9,9,73,25376.2,83.7188,1
C1_8_3,800,C1,CLASSIC,10,10,73,25581.1,85.5,1
C1_8_3,800,C1,QLEARNING,1,1,73,25498.9,82.8438,1
C1_8_3,800,C1,QLEARNING,2,2,72,25824.7,85.5156,1
C1_8_3,800,C1,QLEARNING,3,3,73,25090.6,83.1094,1
C1_8_3,800,C1,QLEARNING,4,4,73,25961.2,84.9219,1
C1_8_3,800,C1,QLEARNING,5,5,72,26038.4,76.4062,1
C1_8_3,800,C1,QLEARNING,6,6,73,26003.3,83.5,1
C1_8_3,800,C1,QLEARNING,7,7,73,25517.8,83.2031,1
C1_8_3,800,C1,QLEARNING,8,8,73,25403.8,86.0938,1
C1_8_3,800,C1,QLEARNING,9,9,73,25263,82.5312,1
C1_8_3,800,C1,QLEARNING,10,10,73,25417.6,82.2344,1
C1_8_4,800,C1,CLASSIC,1,1,73,25231.4,83.9688,1
C1_8_4,800,C1,CLASSIC,2,2,73,25322.7,84.625,1
C1_8_4,800,C1,CLASSIC,3,3,73,25539,85.5938,1
C1_8_4,800,C1,CLASSIC,4,4,73,25237.9,86.7812,1
C1_8_4,800,C1,CLASSIC,5,5,73,25259.3,83.9844,1
C1_8_4,800,C1,CLASSIC,6,6,73,25044.3,83.5312,1
C1_8_4,800,C1,CLASSIC,7,7,73,24964.4,84.5312,1
C1_8_4,800,C1,CLASSIC,8,8,72,25184.9,76.875,1
C1_8_4,800,C1,CLASSIC,9,9,72,25746.4,78.6875,1
C1_8_4,800,C1,CLASSIC,10,10,72,25507.7,78.7656,1
C1_8_4,800,C1,QLEARNING,1,1,72,25194.2,77.7344,1
C1_8_4,800,C1,QLEARNING,2,2,72,25870.1,70.4844,1
C1_8_4,800,C1,QLEARNING,3,3,72,25754.6,69.9531,1
C1_8_4,800,C1,QLEARNING,4,4,72,25994.8,74.2812,1
C1_8_4,800,C1,QLEARNING,5,5,72,26055.6,68.7344,1
C1_8_4,800,C1,QLEARNING,6,6,72,25832.7,72.1875,1
C1_8_4,800,C1,QLEARNING,7,7,72,25692.2,69.3594,1
C1_8_4,800,C1,QLEARNING,8,8,72,25345.7,69.4219,1
C1_8_4,800,C1,QLEARNING,9,9,72,25717.6,75.375,1
C1_8_4,800,C1,QLEARNING,10,10,72,25449.5,72.7656,1
C1_8_5,800,C1,CLASSIC,1,1,80,25223.2,80.8594,1
C1_8_5,800,C1,CLASSIC,2,2,81,25715.7,82.2969,1
C1_8_5,800,C1,CLASSIC,3,3,81,25654.7,81.7344,1
C1_8_5,800,C1,CLASSIC,4,4,80,25644.6,80.0781,1
C1_8_5,800,C1,CLASSIC,5,5,80,25223.9,80.9844,1
C1_8_5,800,C1,CLASSIC,6,6,81,25769.2,85.0625,1
C1_8_5,800,C1,CLASSIC,7,7,80,25366.2,82.0781,1
C1_8_5,800,C1,CLASSIC,8,8,81,25461.6,82.8594,1
C1_8_5,800,C1,CLASSIC,9,9,81,25696.4,81.3438,1
C1_8_5,800,C1,CLASSIC,10,10,80,25185.5,80.6094,1
C1_8_5,800,C1,QLEARNING,1,1,80,25199.8,85.7031,1
C1_8_5,800,C1,QLEARNING,2,2,80,25249.6,85.8281,1
C1_8_5,800,C1,QLEARNING,3,3,80,25218.2,85.6562,1
C1_8_5,800,C1,QLEARNING,4,4,80,25257.7,87.0312,1
C1_8_5,800,C1,QLEARNING,5,5,80,25245.2,87.9062,1
C1_8_5,800,C1,QLEARNING,6,6,80,25167.6,89.375,1
C1_8_5,800,C1,QLEARNING,7,7,81,25723.3,87.0312,1
C1_8_5,800,C1,QLEARNING,8,8,80,25182.3,87.8125,1
C1_8_5,800,C1,QLEARNING,9,9,81,25704.9,87.25,1
C1_8_5,800,C1,QLEARNING,10,10,80,25168.8,84.9375,1
C1_8_6,800,C1,CLASSIC,1,1,81,25882,84.7812,1
C1_8_6,800,C1,CLASSIC,2,2,81,25672.3,86.625,1
C1_8_6,800,C1,CLASSIC,3,3,80,25257.2,86.0781,1
C1_8_6,800,C1,CLASSIC,4,4,81,25650.5,87.25,1
C1_8_6,800,C1,CLASSIC,5,5,80,25766.7,87.9062,1
C1_8_6,800,C1,CLASSIC,6,6,82,25905.3,85.4531,1
C1_8_6,800,C1,CLASSIC,7,7,81,25719.1,86.6562,1
C1_8_6,800,C1,CLASSIC,8,8,82,26020,87.2344,1
C1_8_6,800,C1,CLASSIC,9,9,81,25742.8,87.2188,1
C1_8_6,800,C1,CLASSIC,10,10,82,26152.9,87.5625,1
C1_8_6,800,C1,QLEARNING,1,1,80,25162.5,90.0625,1
C1_8_6,800,C1,QLEARNING,2,2,80,25315.2,91.9219,1
C1_8_6,800,C1,QLEARNING,3,3,81,25665,89.8125,1
C1_8_6,800,C1,QLEARNING,4,4,80,25164.3,90.7656,1
C1_8_6,800,C1,QLEARNING,5,5,81,25599,91.3125,1
C1_8_6,800,C1,QLEARNING,6,6,80,25259.8,90.25,1
C1_8_6,800,C1,QLEARNING,7,7,80,25329.4,89.8281,1
C1_8_6,800,C1,QLEARNING,8,8,80,25175.7,92.125,1
C1_8_6,800,C1,QLEARNING,9,9,81,25575.9,91.2188,1
C1_8_6,800,C1,QLEARNING,10,10,80,25692,90.2656,1
C1_8_7,800,C1,CLASSIC,1,1,81,26238.2,85.7969,1
C1_8_7,800,C1,CLASSIC,2,2,80,25912.2,86.1719,1
C1_8_7,800,C1,CLASSIC,3,3,81,26036.9,86.4062,1
C1_8_7,800,C1,CLASSIC,4,4,81,26207.1,86,1
C1_8_7,800,C1,CLASSIC,5,5,82,26500.6,85.7344,1
C1_8_7,800,C1,CLASSIC,6,6,80,25744.9,86.4062,1
C1_8_7,800,C1,CLASSIC,7,7,80,25968.7,84.625,1
C1_8_7,800,C1,CLASSIC,8,8,80,25715.2,85.1875,1
C1_8_7,800,C1,CLASSIC,9,9,81,25893.4,84.8594,1
C1_8_7,800,C1,CLASSIC,10,10,83,26788.1,86.8906,1
C1_8_7,800,C1,QLEARNING,1,1,80,25164.7,88.4688,1
C1_8_7,800,C1,QLEARNING,2,2,80,25849.8,93.4844,1
C1_8_7,800,C1,QLEARNING,3,3,80,25839.4,90,1
C1_8_7,800,C1,QLEARNING,4,4,80,25608.7,93.2656,1
C1_8_7,800,C1,QLEARNING,5,5,80,25922.3,89.9062,1
C1_8_7,800,C1,QLEARNING,6,6,81,26285.7,90.1719,1
C1_8_7,800,C1,QLEARNING,7,7,80,25956.2,89.8438,1
C1_8_7,800,C1,QLEARNING,8,8,80,25981,89.9375,1
C1_8_7,800,C1,QLEARNING,9,9,80,25753.6,93.4688,1
C1_8_7,800,C1,QLEARNING,10,10,80,25599.7,91.8125,1
C1_8_8,800,C1,CLASSIC,1,1,79,25860.1,86.9062,1
C1_8_8,800,C1,CLASSIC,2,2,80,26255.5,88.5312,1
C1_8_8,800,C1,CLASSIC,3,3,79,25600.3,86.8281,1
