instance,Familia,CLASSIC_Vehiculos,QLEARNING_Vehiculos,CLASSIC_Distancia,QLEARNING_Distancia,CLASSIC_Tiempo_s,QLEARNING_Tiempo_s,BKS_Veh,BKS_Dist,CLASSIC_DIF_f1,CLASSIC_GAP_f2(%),QLEARNING_DIF_f1,QLEARNING_GAP_f2(%),size
c1_2_1,C1,20.0,20.0,2704.57,2704.57,16.4125,16.94843,20,2704.57,0.0,0.0,0.0,0.0,200
c1_2_10,C1,18.4,18.0,2653.6169999999997,2663.5080000000003,24.25781,22.99063,18,2643.51,0.3999999999999986,,0.0,0.7564942065662715,200
c1_2_2,C1,19.0,19.0,2783.063,2792.13,22.289070000000002,22.05157,18,2917.89,1.0,,1.0,,200
c1_2_3,C1,18.0,18.0,2747.906,2738.9669999999996,25.21874,25.96875,18,2707.35,0.0,1.4979961955417673,0.0,1.1678209319075752,200
c1_2_4,C1,18.0,18.0,2653.519,2648.93,24.7875,24.875,18,2643.31,0.0,0.3862203071149367,0.0,0.2126122172579036,200
c1_2_5,C1,20.0,20.0,2702.05,2702.05,17.796879999999998,17.742179999999998,20,2702.05,0.0,0.0,0.0,0.0,200
c1_2_6,C1,20.0,20.0,2701.04,2701.04,19.885939999999998,22.47813,20,2701.04,0.0,0.0,0.0,0.0,200
c1_2_7,C1,20.0,20.0,2701.04,2701.04,19.49846,22.86875,20,2701.04,0.0,0.0,0.0,0.0,200
c1_2_8,C1,20.0,20.0,2690.27,2690.293,21.56873,24.4,19,2775.48,1.0,,1.0,,200
c1_2_9,C1,19.0,18.8,2646.25,2662.022,21.257830000000002,22.48283,18,2687.83,1.0,,0.8000000000000007,,200
c2_2_1,C2,6.0,6.0,1931.44,1931.44,18.57345,22.125,6,1931.44,0.0,0.0,0.0,0.0,200
c2_2_10,C2,6.0,6.0,1819.1119999999999,1822.225,20.06718,21.3203,6,1806.58,0.0,0.6936864130013576,0.0,0.8660009520751908,200
c2_2_2,C2,6.0,6.0,1868.0810000000001,1863.7130000000002,25.65469,27.276580000000003,6,1863.16,0.0,0.26412117048455575,0.0,0.02968075742287892,200
c2_2_3,C2,6.0,6.0,1836.7720000000002,1835.6510000000003,28.662490000000002,30.33907,6,1775.08,0.0,3.4754489938481776,0.0,3.4122969105617984,200
c2_2_4,C2,6.0,6.0,1753.2810000000002,1754.864,28.409370000000003,30.67189,6,1703.43,0.0,2.9265071062503365,0.0,3.0194372530717417,200
c2_2_5,C2,6.0,6.0,1884.1259999999997,1890.264,18.390629999999998,19.52345,6,1878.85,0.0,0.2808100699896128,0.0,0.6074992681693583,200
c2_2_6,C2,6.0,6.0,1869.1950000000002,1875.1419999999998,19.44687,21.265620000000002,6,1857.35,0.0,0.6377365601529197,0.0,0.9579239238700253,200
c2_2_7,C2,6.1,6.0,1867.8260000000002,1859.466,21.332810000000002,22.629669999999997,6,1849.46,0.09999999999999964,,0.0,0.541022785029136,200
