instance,size,BKS_Veh,BKS_Dist
C1_8_1,800,80,25030.36
C1_8_2,800,72,26540.53
C1_8_3,800,72,24242.49
C1_8_4,800,72,23824.17
C1_8_5,800,80,25166.28
C1_8_6,800,79,26873.86
C1_8_7,800,77,26464.91
C1_8_8,800,73,26099.74
C1_8_9,800,72,24300.21
C1_8_10,800,72,24070.17
C2_8_1,800,24,11662.08
C2_8_2,800,23,12285.31
C2_8_3,800,23,11410.69
C2_8_4,800,22,10990.64
C2_8_5,800,24,11425.23
C2_8_6,800,23,12235.30
C2_8_7,800,23,13427.12
C2_8_8,800,23,11288.01
C2_8_9,800,23,11592.52
C2_8_10,800,23,10977.36
R1_8_1,800,80,36767.92
R1_8_2,800,72,32313.17
R1_8_3,800,72,29338.97
R1_8_4,800,72,27769.19
R1_8_5,800,72,33529.08
R1_8_6,800,72,30906.90
R1_8_7,800,72,28823.76
R1_8_8,800,72,27643.38
R1_8_9,800,72,32293.46
R1_8_10,800,72,30952.77
R2_8_1,800,15,28112.36
R2_8_2,800,15,22795.79
R2_8_3,800,15,17703.99
R2_8_4,800,15,13192.32
R2_8_5,800,15,24255.00
R2_8_6,800,15,20412.02
R2_8_7,800,15,16597.87
R2_8_8,800,15,12642.67
R2_8_9,800,15,22277.04
R2_8_10,800,15,20358.61
RC1_8_1,800,72,30464.65
RC1_8_2,800,72,28511.37
RC1_8_3,800,72,27528.16
RC1_8_4,800,72,26663.45
RC1_8_5,800,72,29508.27
RC1_8_6,800,72,29458.38
RC1_8_7,800,72,28979.60
RC1_8_8,800,72,28605.60
RC1_8_9,800,72,28555.53
RC1_8_10,800,72,28331.16
RC2_8_1,800,18,20981.14
RC2_8_2,800,16,18151.95
RC2_8_3,800,15,14427.39
RC2_8_4,800,15,10999.03
RC2_8_5,800,15,19074.02
RC2_8_6,800,15,18143.04
RC2_8_7,800,15,16817.46
RC2_8_8,800,15,15759.14
RC2_8_9,800,15,15325.25
RC2_8_10,800,15,14411.81
