instance,size,BKS_Veh,BKS_Dist
C1_2_1,200,20,2704.57
C1_2_2,200,18,2917.89
C1_2_3,200,18,2707.35
C1_2_4,200,18,2643.31
C1_2_5,200,20,2702.05
C1_2_6,200,20,2701.04
C1_2_7,200,20,2701.04
C1_2_8,200,19,2775.48
C1_2_9,200,18,2687.83
C1_2_10,200,18,2643.51
C2_2_1,200,6,1931.44
C2_2_2,200,6,1863.16
C2_2_3,200,6,1775.08
C2_2_4,200,6,1703.43
C2_2_5,200,6,1878.85
C2_2_6,200,6,1857.35
C2_2_7,200,6,1849.46
C2_2_8,200,6,1820.53
C2_2_9,200,6,1830.05
C2_2_10,200,6,1806.58
R1_2_1,200,20,4784.11
R1_2_2,200,18,4039.86
R1_2_3,200,18,3381.96
R1_2_4,200,18,3057.81
R1_2_5,200,18,4107.86
R1_2_6,200,18,3583.14
R1_2_7,200,18,3150.11
R1_2_8,200,18,2951.99
R1_2_9,200,18,3760.58
R1_2_10,200,18,3301.18
R2_2_1,200,4,4483.16
R2_2_2,200,4,3621.2
R2_2_3,200,4,2880.62
R2_2_4,200,4,1981.29
R2_2_5,200,4,3366.79
R2_2_6,200,4,2913.03
R2_2_7,200,4,2451.14
R2_2_8,200,4,1849.87
R2_2_9,200,4,3092.04
R2_2_10,200,4,2654.97
RC1_2_1,200,18,3602.8
RC1_2_2,200,18,3249.05
RC1_2_3,200,18,3008.33
RC1_2_4,200,18,2851.68
RC1_2_5,200,18,3371.0
RC1_2_6,200,18,3324.8
RC1_2_7,200,18,3189.32
RC1_2_8,200,18,3083.93
RC1_2_9,200,18,3081.13
RC1_2_10,200,18,3000.3
RC2_2_1,200,6,3099.53
RC2_2_2,200,5,2825.24
RC2_2_3,200,4,2601.87
RC2_2_4,200,4,2038.56
RC2_2_5,200,4,2911.46
RC2_2_6,200,4,2873.12
RC2_2_7,200,4,2525.83
RC2_2_8,200,4,2292.53
RC2_2_9,200,4,2175.04
RC2_2_10,200,4,2015.6
