instance,Familia,CLASSIC_Vehiculos,QLEARNING_Vehiculos,CLASSIC_Distancia,QLEARNING_Distancia,CLASSIC_Tiempo_s,QLEARNING_Tiempo_s,BKS_Veh,BKS_Dist,CLASSIC_DIF_f1,CLASSIC_GAP_f2(%),QLEARNING_DIF_f1,QLEARNING_GAP_f2(%),size
c1_8_1,C1,80.3,80.6,25399.620000000003,25481.760000000002,78.90781,78.25939,80,25030.36,0.29999999999999716,,0.5999999999999943,,800
c1_8_10,C1,74.8,74.0,25536.2,25421.45,92.33907,82.66563,72,24070.17,2.799999999999997,,2.0,,800
c1_8_2,C1,78.1,78.0,26010.989999999998,25904.89,97.73131,96.83594000000001,72,26540.53,6.099999999999994,,6.0,,800
c1_8_3,C1,73.0,72.8,25696.57,25601.93,84.46875,83.03594000000001,72,24242.49,1.0,,0.7999999999999972,,800
c1_8_4,C1,72.7,72.0,25303.8,25690.7,82.73437,72.02968999999999,72,23824.17,0.7000000000000028,,0.0,7.834606620083733,800
c1_8_5,C1,80.5,80.2,25494.1,25311.739999999998,81.79064,86.8531,80,25166.28,0.5,,0.20000000000000284,,800
c1_8_6,C1,81.1,80.3,25776.879999999997,25393.879999999997,86.67654999999999,90.75625,79,26873.86,2.0999999999999943,,1.2999999999999972,,800
c1_8_7,C1,80.9,80.1,26100.53,25796.11,85.80780999999999,91.03595,77,26464.91,3.9000000000000057,,3.0999999999999943,,800
c1_8_8,C1,79.4,78.3,25939.879999999997,25645.420000000002,87.50624,86.81719000000001,73,26099.74,6.400000000000006,,5.299999999999997,,800
c1_8_9,C1,75.8,75.0,25547.94,25248.31,87.23282,81.85312,72,24300.21,3.799999999999997,,3.0,,800
c2_8_1,C2,26.6,26.0,13672.7,13609.64,86.07813,84.89844000000001,24,11662.08,2.6000000000000014,,2.0,,800
c2_8_10,C2,26.0,25.0,12618.960000000001,12567.41,109.64829999999999,113.5796,23,10977.36,3.0,,2.0,,800
c2_8_2,C2,26.0,25.4,13234.89,13254.689999999999,137.8157,143.7639,23,12285.31,3.0,,2.3999999999999986,,800
c2_8_3,C2,25.3,24.9,13208.09,12983.759999999998,155.0048,161.24200000000002,23,11410.69,2.3000000000000007,,1.8999999999999986,,800
c2_8_4,C2,24.4,24.0,12341.369999999999,12221.07,158.3001,163.7517,22,10990.64,2.3999999999999986,,2.0,,800
c2_8_5,C2,27.3,26.3,13582.89,13334.9,91.78439,95.30157,24,11425.23,3.3000000000000007,,2.3000000000000007,,800
c2_8_6,C2,27.1,26.0,13263.38,13131.179999999998,98.75625,102.1204,23,12235.3,4.100000000000001,,3.0,,800
c2_8_7,C2,27.2,26.0,13172.77,13029.47,110.08430000000001,114.05640000000001,23,13427.12,4.199999999999999,,3.0,,800
c2_8_8,C2,26.3,25.4,13083.380000000001,12764.11,101.25932,103.9001,23,11288.01,3.3000000000000007,,2.3999999999999986,,800
c2_8_9,C2,26.6,25.7,12858.9,12769.55,118.553,123.4358,23,11592.52,3.6000000000000014,,2.6999999999999993,,800
r1_8_1,R1,80.0,80.0,39032.89,38549.43,81.0578,71.22970000000001,80,36767.92,0.0,6.160179852436584,0.0,4.845283605926041,800
r1_8_10,R1,72.0,72.0,36609.270000000004,34957.96,49.890609999999995,47.16563,72,30952.77,0.0,18.27461645597471,0.0,12.939681973535805,800
r1_8_2,R1,73.0,72.9,35274.18,35230.479999999996,87.4828,85.53593,72,32313.17,1.0,,0.9000000000000057,,800
r1_8_3,R1,72.0,72.0,33544.909999999996,32586.07,84.78593,76.92656,72,29338.97,0.0,14.3356770875051,0.0,11.067532363951422,800
r1_8_4,R1,72.0,72.0,30414.809999999998,29988.8,74.91405,69.89063999999999,72,27769.19,0.0,9.527177422171835,0.0,7.993067136635965,800
r1_8_5,R1,73.0,73.0,36165.71,35836.63,65.66409,52.13282,72,33529.08,1.0,,1.0,,800
r1_8_6,R1,72.0,72.0,37005.81,34898.04,77.36404999999999,77.21564,72,30906.9,0.0,19.733166380322828,0.0,12.913427098803176,800
r1_8_7,R1,72.0,72.0,32832.0,31770.74,80.97031999999999,76.22813,72,28823.76,0.0,13.906027527289991,0.0,10.224134533454356,800
r1_8_8,R1,72.0,72.0,30444.05,29917.140000000003,74.93751,69.39062,72,27643.38,0.0,10.131431105747554,0.0,8.225332792154946,800
r1_8_9,R1,72.8,72.7,36313.35,35416.93,63.43125,63.375009999999996,72,32293.46,0.7999999999999972,,0.7000000000000028,,800
r2_8_1,R2,16.0,16.0,29842.559999999998,29662.47,80.64062,77.92346,15,28112.36,1.0,,1.0,,800
r2_8_10,R2,15.0,15.0,22211.46,22186.43,81.39531,82.31406999999999,15,20358.61,0.0,9.101063383010915,0.0,8.978117857751583,800
r2_8_2,R2,15.0,15.0,25049.59,25083.91,123.14059999999999,131.2624,15,22795.79,0.0,9.886913329171742,0.0,10.037467444646571,800
r2_8_3,R2,15.0,15.0,19613.73,19559.63,144.5421,153.2704,15,17703.99,0.0,10.78705986616575,0.0,10.481479033822314,800
r2_8_4,R2,15.0,15.0,14646.170000000002,14705.6,150.97039999999998,152.6327,15,13192.32,0.0,11.02042703633631,0.0,11.470916411973032,800
r2_8_5,R2,15.0,15.0,26321.920000000002,26416.29,78.01719,75.23281,15,24255.0,0.0,8.521624407338702,0.0,8.910698824984543,800
r2_8_6,R2,15.0,15.0,22149.65,22431.879999999997,119.70309999999999,125.8173,15,20412.02,0.0,8.512778255165344,0.0,9.895443959000612,800
r2_8_7,R2,15.0,15.0,18166.57,18473.0,140.2095,148.3766,15,16597.87,0.0,9.451212715848484,0.0,11.297413463293791,800
r2_8_8,R2,15.0,15.0,14045.420000000002,14124.85,149.4,149.2749,15,12642.67,0.0,11.095361976544526,0.0,11.723631163353945,800
r2_8_9,R2,15.0,15.0,24107.48,24240.45,84.48904999999999,84.95625,15,22277.04,0.0,8.216711017262611,0.0,8.813603602633025,800
rc1_8_1,RC1,74.7,74.4,31980.4,31786.43,61.048429999999996,60.80001,72,30464.65,2.700000000000003,,2.4000000000000057,,800
rc1_8_10,RC1,73.3,73.0,30735.75,30485.940000000002,56.775,47.10781,72,28331.16,1.2999999999999972,,1.0,,800
rc1_8_2,RC1,73.6,73.0,30869.2,30967.95,77.45155,69.68593,72,28511.37,1.5999999999999943,,1.0,,800
rc1_8_3,RC1,73.0,73.0,29998.590000000004,29702.159999999996,77.85157000000001,70.75157,72,27528.16,1.0,,1.0,,800
rc1_8_4,RC1,73.0,73.0,28656.75,28277.5,72.6203,68.94530999999999,72,26663.45,1.0,,1.0,,800
rc1_8_5,RC1,74.1,74.0,31635.629999999997,31187.49,61.87967999999999,57.14376,72,29508.27,2.0999999999999943,,2.0,,800
rc1_8_6,RC1,74.0,74.0,31464.55,31037.170000000002,60.40781,56.07812,72,29458.38,2.0,,2.0,,800
rc1_8_7,RC1,73.9,73.7,31369.829999999998,30674.43,62.49062,58.43906,72,28979.6,1.9000000000000057,,1.7000000000000028,,800
rc1_8_8,RC1,73.8,73.2,31113.78,30759.809999999998,58.781240000000004,53.076570000000004,72,28605.6,1.7999999999999972,,1.2000000000000028,,800
rc1_8_9,RC1,73.6,73.1,31001.920000000002,30641.23,59.625,55.675,72,28555.53,1.5999999999999943,,1.0999999999999943,,800
rc2_8_1,RC2,21.4,21.2,20879.48,20901.3,84.17031999999999,83.58124000000001,18,20981.14,3.3999999999999986,,3.1999999999999993,,800
rc2_8_10,RC2,15.0,15.0,15774.679999999998,15816.429999999998,90.98593,94.2953,15,14411.81,0.0,9.456619258788447,0.0,9.746312225875855,800
rc2_8_2,RC2,19.4,19.5,18342.55,18269.05,129.8485,135.6876,16,18151.95,3.3999999999999986,,3.5,,800
rc2_8_3,RC2,17.0,16.4,15237.679999999998,15497.39,144.464,150.1295,15,14427.39,2.0,,1.3999999999999986,,800
rc2_8_4,RC2,15.0,15.0,12454.45,12528.210000000001,145.264,148.2516,15,10999.03,0.0,13.232257753638274,0.0,13.90286234331573,800
rc2_8_5,RC2,18.9,18.3,19165.760000000002,19550.93,92.14218,92.26250999999999,15,19074.02,3.8999999999999986,,3.3000000000000007,,800
rc2_8_6,RC2,17.4,16.9,19042.4,19256.89,85.5469,86.39999,15,18143.04,2.3999999999999986,,1.8999999999999986,,800
rc2_8_7,RC2,16.0,16.0,18119.78,18247.96,93.15469,95.70626,15,16817.46,1.0,,1.0,,800
rc2_8_8,RC2,15.0,15.0,17343.75,17318.89,91.00001,94.85468,15,15759.14,0.0,10.055180676102887,0.0,9.897430951181347,800
rc2_8_9,RC2,15.0,15.0,16891.41,16738.82,89.0125,93.17187,15,15325.25,0.0,10.219474396828762,0.0,9.223797327939183,800
