instance,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
c101,CLASSIC,4,4,10,828.937,5.60938,1
c101,CLASSIC,5,5,10,828.937,5.8125,1
c101,CLASSIC,8,8,10,828.937,6.10938,1
c101,CLASSIC,2,2,10,828.937,6.25,1
c101,CLASSIC,3,3,10,828.937,6.375,1
c101,CLASSIC,7,7,10,828.937,6.48438,1
c101,CLASSIC,6,6,10,828.937,6.5,1
c101,CLASSIC,1,1,10,828.937,6.59375,1
c101,CLASSIC,9,9,10,828.937,6.46875,1
c101,CLASSIC,10,10,10,828.937,6.53125,1
c101,QLEARNING,1,1,10,828.937,6.34375,1
c101,QLEARNING,5,5,10,828.937,6.14062,1
c101,QLEARNING,6,6,10,828.937,6.21875,1
c101,QLEARNING,3,3,10,828.937,6.375,1
c101,QLEARNING,2,2,10,828.937,6.625,1
c101,QLEARNING,4,4,10,828.937,6.59375,1
c101,QLEARNING,7,7,10,828.937,6.53125,1
c101,QLEARNING,10,10,10,828.937,6.25,1
c101,QLEARNING,9,9,10,828.937,6.51562,1
c101,QLEARNING,8,8,10,828.937,6.89062,1
c102,CLASSIC,3,3,10,828.937,8.32812,1
c102,CLASSIC,1,1,10,828.937,8.67188,1
c102,CLASSIC,4,4,10,828.937,8.5,1
c102,CLASSIC,2,2,10,828.937,8.75,1
c102,CLASSIC,8,8,10,828.937,7.23438,1
c102,CLASSIC,6,6,10,828.937,7.45312,1
c102,CLASSIC,5,5,10,828.937,8.04688,1
c102,CLASSIC,7,7,10,828.937,8.6875,1
c102,CLASSIC,9,9,10,828.937,7.28125,1
c102,QLEARNING,2,2,10,828.937,7.4375,1
c102,QLEARNING,1,1,10,828.937,9.07812,1
c102,CLASSIC,10,10,10,828.937,10.3125,1
c102,QLEARNING,4,4,10,828.937,7.90625,1
c102,QLEARNING,5,5,10,828.937,7.875,1
c102,QLEARNING,3,3,10,828.937,8.39062,1
c102,QLEARNING,6,6,10,828.937,8.125,1
c102,QLEARNING,7,7,10,828.937,8.60938,1
c102,QLEARNING,8,8,10,828.937,9.4375,1
c102,QLEARNING,9,9,10,828.937,9.03125,1
c102,QLEARNING,10,10,10,828.937,8.26562,1
c103,CLASSIC,3,3,10,828.065,8.84375,1
c103,CLASSIC,2,2,10,828.065,9.40625,1
c103,CLASSIC,1,1,10,828.065,10.0938,1
c103,CLASSIC,4,4,10,828.065,9.70312,1
c103,CLASSIC,5,5,10,828.065,8.98438,1
c103,CLASSIC,6,6,10,828.065,9.01562,1
c103,CLASSIC,8,8,10,828.065,8.92188,1
c103,CLASSIC,7,7,10,828.065,9.375,1
c103,CLASSIC,9,9,10,828.065,9.1875,1
c103,CLASSIC,10,10,10,828.065,10.5,1
c103,QLEARNING,1,1,10,828.065,10.25,1
c103,QLEARNING,2,2,10,828.065,9.875,1
c103,QLEARNING,3,3,10,828.065,10.125,1
c103,QLEARNING,4,4,10,828.065,10.2031,1
c103,QLEARNING,6,6,10,828.065,9.78125,1
c103,QLEARNING,5,5,10,828.065,10.2656,1
c103,QLEARNING,7,7,10,828.065,9.95312,1
c103,QLEARNING,8,8,10,828.065,9.40625,1
c103,QLEARNING,9,9,10,828.065,9.70312,1
c103,QLEARNING,10,10,10,828.065,9.59375,1
c104,CLASSIC,1,1,10,824.777,10.0938,1
