instance,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
c101,CLASSIC,1,1,10,828.937,4.28125,1
c101,CLASSIC,2,2,10,828.937,4.23438,1
c101,CLASSIC,3,3,10,828.937,4.28125,1
c101,QLEARNING,1,1,10,828.937,4.15625,1
c101,QLEARNING,2,2,10,828.937,4.25,1
c101,QLEARNING,3,3,10,828.937,4.01562,1
c102,CLASSIC,1,1,10,828.937,5.10938,1
c102,CLASSIC,2,2,10,828.937,5.32812,1
c102,CLASSIC,3,3,10,828.937,5.42188,1
c102,QLEARNING,1,1,10,828.937,5.23438,1
c102,QLEARNING,2,2,10,828.937,5.03125,1
c102,QLEARNING,3,3,10,828.937,5.28125,1
c103,CLASSIC,1,1,10,828.065,5.84375,1
c103,CLASSIC,2,2,10,828.065,5.89062,1
c103,CLASSIC,3,3,10,828.065,5.875,1
c103,QLEARNING,1,1,10,828.065,5.57812,1
c103,QLEARNING,2,2,10,828.065,5.6875,1
c103,QLEARNING,3,3,10,828.065,5.96875,1
c104,CLASSIC,1,1,10,824.777,5.9375,1
c104,CLASSIC,2,2,10,824.777,5.5625,1
c104,CLASSIC,3,3,10,824.777,5.95312,1
c104,QLEARNING,1,1,10,824.777,5.84375,1
c104,QLEARNING,2,2,10,824.777,6.15625,1
c104,QLEARNING,3,3,10,824.777,5.71875,1
c105,CLASSIC,1,1,10,828.937,4.6875,1
c105,CLASSIC,2,2,10,828.937,4.82812,1
c105,CLASSIC,3,3,10,828.937,4.54688,1
c105,QLEARNING,1,1,10,828.937,5.07812,1
c105,QLEARNING,2,2,10,828.937,4.70312,1
c105,QLEARNING,3,3,10,828.937,4.45312,1
c106,CLASSIC,1,1,10,828.937,4.92188,1
c106,CLASSIC,2,2,10,828.937,4.92188,1
c106,CLASSIC,3,3,10,828.937,5.0625,1
c106,QLEARNING,1,1,10,828.937,4.5625,1
c106,QLEARNING,2,2,10,828.937,4.8125,1
c106,QLEARNING,3,3,10,828.937,4.79688,1
c107,CLASSIC,1,1,10,828.937,4.54688,1
c107,CLASSIC,2,2,10,828.937,4.59375,1
c107,CLASSIC,3,3,10,828.937,4.84375,1
c107,QLEARNING,1,1,10,828.937,4.6875,1
c107,QLEARNING,2,2,10,828.937,4.71875,1
c107,QLEARNING,3,3,10,828.937,4.32812,1
c108,CLASSIC,1,1,10,828.937,5.21875,1
c108,CLASSIC,2,2,10,828.937,4.96875,1
c108,CLASSIC,3,3,10,828.937,4.98438,1
c108,QLEARNING,1,1,10,828.937,5.57812,1
c108,QLEARNING,2,2,10,828.937,5.60938,1
c108,QLEARNING,3,3,10,828.937,5.65625,1
c109,CLASSIC,1,1,10,828.937,5.125,1
c109,CLASSIC,2,2,10,828.937,5.32812,1
c109,CLASSIC,3,3,10,828.937,5.07812,1
c109,QLEARNING,1,1,10,828.937,5.40625,1
c109,QLEARNING,2,2,10,828.937,5.625,1
c109,QLEARNING,3,3,10,828.937,5.60938,1
c201,CLASSIC,1,1,3,591.557,4.4375,1
c201,CLASSIC,2,2,3,591.557,4.75,1
c201,CLASSIC,3,3,3,591.557,4.78125,1
c201,QLEARNING,1,1,3,591.557,4.53125,1
c201,QLEARNING,2,2,3,591.557,4.45312,1
c201,QLEARNING,3,3,3,591.557,4.5625,1
c202,CLASSIC,1,1,3,591.557,5.32812,1
c202,CLASSIC,2,2,3,591.557,5.76562,1
c202,CLASSIC,3,3,3,591.557,5.65625,1
c202,QLEARNING,1,1,3,591.557,5.98438,1
c202,QLEARNING,2,2,3,591.557,5.53125,1
c202,QLEARNING,3,3,3,591.557,5.54688,1
c203,CLASSIC,1,1,3,591.173,5.98438,1
c203,CLASSIC,2,2,3,591.173,6.23438,1
c203,CLASSIC,3,3,3,591.173,6.32812,1
c203,QLEARNING,1,1,3,591.173,6.125,1
c203,QLEARNING,2,2,3,591.173,6.6875,1
c203,QLEARNING,3,3,3,591.173,6.53125,1
c204,CLASSIC,1,1,3,590.599,5.9375,1
c204,CLASSIC,2,2,3,590.599,5.98438,1
c204,CLASSIC,3,3,3,590.599,5.96875,1
c204,QLEARNING,1,1,3,590.599,6.60938,1
c204,QLEARNING,2,2,3,590.599,6.76562,1
c204,QLEARNING,3,3,3,590.599,6.32812,1
c205,CLASSIC,1,1,3,588.876,4.3125,1
c205,CLASSIC,2,2,3,588.876,4.04688,1
c205,CLASSIC,3,3,3,588.876,4.35938,1
c205,QLEARNING,1,1,3,588.876,4.32812,1
c205,QLEARNING,2,2,3,588.876,4.4375,1
c205,QLEARNING,3,3,3,588.876,4.15625,1
c206,CLASSIC,1,1,3,588.493,4.23438,1
c206,CLASSIC,2,2,3,588.493,4.1875,1
c206,CLASSIC,3,3,3,588.493,4.20312,1
c206,QLEARNING,1,1,3,588.493,4.67188,1
c206,QLEARNING,2,2,3,588.493,4.65625,1
c206,QLEARNING,3,3,3,588.493,4.51562,1
c207,CLASSIC,1,1,3,588.286,4.6875,1
c207,CLASSIC,2,2,3,588.286,4.67188,1
c207,CLASSIC,3,3,3,588.286,4.60938,1
c207,QLEARNING,1,1,3,588.286,4.75,1
c207,QLEARNING,2,2,3,588.286,4.76562,1
c207,QLEARNING,3,3,3,588.286,4.45312,1
c208,CLASSIC,1,1,3,588.324,4.45312,1
c208,CLASSIC,2,2,3,588.324,4.1875,1
c208,CLASSIC,3,3,3,588.324,4.21875,1
c208,QLEARNING,1,1,3,588.324,4.45312,1
c208,QLEARNING,2,2,3,588.324,4.3125,1
c208,QLEARNING,3,3,3,588.324,4.42188,1
r101,CLASSIC,1,1,19,1653.89,6.375,1
r101,CLASSIC,2,2,19,1652.17,6.4375,1
r101,CLASSIC,3,3,19,1651.32,6.03125,1
r101,QLEARNING,1,1,19,1652.47,6.25,1
r101,QLEARNING,2,2,19,1656.03,6.15625,1
r101,QLEARNING,3,3,19,1653.81,6.375,1
r102,CLASSIC,1,1,17,1486.41,6.98438,1
r102,CLASSIC,2,2,17,1487.31,7.32812,1
r102,CLASSIC,3,3,17,1486.41,6.98438,1
r102,QLEARNING,1,1,17,1486.12,6.875,1
r102,QLEARNING,2,2,17,1487.47,7.34375,1
r102,QLEARNING,3,3,17,1488.5,7.45312,1
r103,CLASSIC,1,1,14,1213.62,7.29688,1
r103,CLASSIC,2,2,13,1297.26,7.21875,1
r103,CLASSIC,3,3,13,1296.22,6.96875,1
r103,QLEARNING,1,1,14,1214.81,7.45312,1
r103,QLEARNING,2,2,13,1297.21,6.9375,1
r103,QLEARNING,3,3,13,1296.89,6.92188,1
r104,CLASSIC,1,1,10,988.772,7.10938,1
r104,CLASSIC,2,2,10,981.232,6.6875,1
r104,CLASSIC,3,3,10,982.547,7.09375,1
r104,QLEARNING,1,1,10,989.146,8.01562,1
r104,QLEARNING,2,2,10,981.232,7.48438,1
r104,QLEARNING,3,3,10,981.232,8.09375,1
r105,CLASSIC,1,1,14,1378.24,5.60938,1
r105,CLASSIC,2,2,14,1380.39,5.46875,1
r105,CLASSIC,3,3,14,1377.63,5.89062,1
r105,QLEARNING,1,1,14,1377.63,5.78125,1
r105,QLEARNING,2,2,14,1377.11,6.125,1
r105,QLEARNING,3,3,14,1377.11,5.76562,1
r106,CLASSIC,1,1,12,1263.61,7.29688,1
r106,CLASSIC,2,2,12,1254.07,7.125,1
r106,CLASSIC,3,3,12,1263.21,7.09375,1
r106,QLEARNING,1,1,12,1263.79,7.01562,1
r106,QLEARNING,2,2,12,1262.19,7.73438,1
r106,QLEARNING,3,3,12,1262.86,7.29688,1
r107,CLASSIC,1,1,11,1076.12,6.95312,1
r107,CLASSIC,2,2,11,1073.34,7,1
r107,CLASSIC,3,3,10,1113.58,7.21875,1
r107,QLEARNING,1,1,11,1073.91,6.96875,1
r107,QLEARNING,2,2,11,1079.56,7.125,1
r107,QLEARNING,3,3,11,1074.31,6.98438,1
r108,CLASSIC,1,1,10,944.441,6.48438,1
r108,CLASSIC,2,2,10,949.904,6.92188,1
r108,CLASSIC,3,3,10,955.799,6.92188,1
r108,QLEARNING,1,1,10,952.936,6.98438,1
r108,QLEARNING,2,2,10,948.465,6.73438,1
r108,QLEARNING,3,3,10,953.433,6.95312,1
r109,CLASSIC,1,1,12,1153.02,5.59375,1
r109,CLASSIC,2,2,12,1153.52,5.375,1
r109,CLASSIC,3,3,12,1153.52,5.64062,1
r109,QLEARNING,1,1,12,1154.55,5.82812,1
r109,QLEARNING,2,2,12,1162.5,5.4375,1
r109,QLEARNING,3,3,12,1153.02,5.48438,1
r110,CLASSIC,1,1,11,1101.88,6.92188,1
r110,CLASSIC,2,2,11,1089.97,6.89062,1
r110,CLASSIC,3,3,11,1087.24,6.98438,1
r110,QLEARNING,1,1,11,1089.03,7.17188,1
r110,QLEARNING,2,2,11,1076.89,6.82812,1
r110,QLEARNING,3,3,11,1082.29,6.84375,1
r111,CLASSIC,1,1,11,1055.32,7.04688,1
r111,CLASSIC,2,2,11,1054.22,6.51562,1
r111,CLASSIC,3,3,11,1054.22,6.90625,1
r111,QLEARNING,1,1,11,1058.56,7.03125,1
r111,QLEARNING,2,2,11,1054.54,6.76562,1
r111,QLEARNING,3,3,11,1057.54,7.01562,1
r112,CLASSIC,1,1,10,955.746,7.125,1
r112,CLASSIC,2,2,10,956.777,6.96875,1
r112,CLASSIC,3,3,10,955.746,6.98438,1
r112,QLEARNING,1,1,10,963.179,6.9375,1
r112,QLEARNING,2,2,10,963.714,7.21875,1
r112,QLEARNING,3,3,10,957.72,6.89062,1
r201,CLASSIC,1,1,4,1253.23,4.875,1
r201,CLASSIC,2,2,4,1258.32,4.8125,1
r201,CLASSIC,3,3,4,1253.21,5.20312,1
r201,QLEARNING,1,1,4,1252.37,5.375,1
r201,QLEARNING,2,2,4,1260.96,5.04688,1
r201,QLEARNING,3,3,4,1254.77,5.85938,1
r202,CLASSIC,1,1,4,1084.09,6.03125,1
r202,CLASSIC,2,2,4,1085.88,5.46875,1
r202,CLASSIC,3,3,4,1085.88,5.95312,1
r202,QLEARNING,1,1,4,1082.46,5.57812,1
r202,QLEARNING,2,2,4,1084.82,6.10938,1
r202,QLEARNING,3,3,4,1084.38,5.98438,1
r203,CLASSIC,1,1,3,943.323,5.875,1
r203,CLASSIC,2,2,3,946.624,6.15625,1
r203,CLASSIC,3,3,3,958.252,6.34375,1
r203,QLEARNING,1,1,3,947.936,5.875,1
r203,QLEARNING,2,2,3,947.142,6.4375,1
r203,QLEARNING,3,3,3,947.991,6.35938,1
r204,CLASSIC,1,1,3,753.899,6.5,1
r204,CLASSIC,2,2,3,752.056,6.14062,1
r204,CLASSIC,3,3,3,760.309,6.23438,1
r204,QLEARNING,1,1,2,856.46,6.89062,1
r204,QLEARNING,2,2,3,755.832,6.82812,1
r204,QLEARNING,3,3,3,751.073,6.35938,1
r205,CLASSIC,1,1,3,1016.84,5.09375,1
r205,CLASSIC,2,2,3,1028.32,5.10938,1
r205,CLASSIC,3,3,3,1001.93,4.82812,1
r205,QLEARNING,1,1,3,1023.74,5.28125,1
r205,QLEARNING,2,2,3,1046.25,4.9375,1
r205,QLEARNING,3,3,3,996.511,4.96875,1
r206,CLASSIC,1,1,3,928.574,5.73438,1
r206,CLASSIC,2,2,3,909.819,5.35938,1
r206,CLASSIC,3,3,3,913.242,5.75,1
r206,QLEARNING,1,1,3,924.522,5.64062,1
r206,QLEARNING,2,2,3,914.916,5.67188,1
r206,QLEARNING,3,3,3,929.355,5.40625,1
r207,CLASSIC,1,1,3,821.156,5.90625,1
r207,CLASSIC,2,2,3,815.165,6.32812,1
r207,CLASSIC,3,3,3,812.755,6.42188,1
r207,QLEARNING,1,1,3,832.356,5.92188,1
r207,QLEARNING,2,2,3,835.629,6.48438,1
r207,QLEARNING,3,3,3,824.372,6.10938,1
r208,CLASSIC,1,1,2,736.097,5.71875,1
r208,CLASSIC,2,2,2,732.153,6.1875,1
r208,CLASSIC,3,3,2,732.153,6.25,1
r208,QLEARNING,1,1,2,730.824,5.9375,1
r208,QLEARNING,2,2,2,740.142,6.5625,1
r208,QLEARNING,3,3,2,727.687,6.48438,1
r209,CLASSIC,1,1,3,936.344,5.3125,1
r209,CLASSIC,2,2,3,928.477,5.3125,1
r209,CLASSIC,3,3,3,932.351,5.375,1
r209,QLEARNING,1,1,3,933.041,5.82812,1
r209,QLEARNING,2,2,3,939.675,5.95312,1
r209,QLEARNING,3,3,3,915.243,5.48438,1
r210,CLASSIC,1,1,3,943.089,6.17188,1
r210,CLASSIC,2,2,3,943.089,5.70312,1
r210,CLASSIC,3,3,3,961.065,5.875,1
r210,QLEARNING,1,1,3,957.803,6,1
r210,QLEARNING,2,2,3,964.48,5.78125,1
r210,QLEARNING,3,3,3,966.378,6.10938,1
r211,CLASSIC,1,1,3,798.031,6,1
r211,CLASSIC,2,2,3,800,6,1
r211,CLASSIC,3,3,3,787.188,5.6875,1
r211,QLEARNING,1,1,3,776.47,5.84375,1
r211,QLEARNING,2,2,3,767.818,6.04688,1
r211,QLEARNING,3,3,3,783.075,5.96875,1
rc101,CLASSIC,1,1,15,1639.56,5.5,1
rc101,CLASSIC,2,2,15,1627.71,5.07812,1
